"text","class"
"ทำไมยิ่งนานไป เครื่องยิ่งใหญ่และหนาขึ้น โทรศัพท์เขามีแต่พยายามที่จะพัฒนาให้บางและเรียวลงเพื่อทำให้ดูสวยขึ้น ส่วนตัวแล้วผมชอบไอโฟน8ครับ ไม่เข้าใจล่าสุดไอโฟนหนาและใหญ่มาก แข็งแรงแต่โคตรหนาน ไม่ต่างกับถือแปรงลบกระดานดำเลย","1"
"จริงครับ รุ่นใหม่ๆก็ยังไม่พัฒนาเกี่ยวกับความร้อนเลยไม่เหมือนกับแอนดรอยเขาไปถึงขึ้นมีโหมดชาร์ตเล่นไปได้ไม่ร้อนอีก","1"
"ถ้ายังไม่เปลี่ยนไปเป็น 90 hz หรือ 120 hz ก็ยังคงไม่น่าซื้อ เพราะติดจอ 120 ไปแล้ว","1"
"ใช้ i14 pro max เหมือนเดิม คุ้มสุด","1"
"เราไม่ได้ใช้ไอโฟน แต่ใช้ไอแพดและแมค ตอนใช้เครื่องหนักๆ ในห้องไม่ใช่แอร์เครื่องจะร้อนมากๆ แมคยังเข้าใจว่าเครื่องไม่มีพัดลม แต่ไม่เข้าใจที่ไอแพดกับไอโฟนร้อนเนี้ยกับราคาที่ครึ่งแสนเลยอ่ะ มันน่าจะระบายความร้อนให้ดีกว่านี้ คหสต","1"
"ไอโฟนชิปแรงจริงแต่ก็แค่นั้น เล่นได้ไม่นานแสงก็ดรอป fpsตก กระตุกอีก ไม่เหมาะกับการเล่นเกมเลย อีกฝั่งตัวท็อปที่ไม่ใช่ออกแบบมาเพื่อเกมแต่ชิปตัวท็อป เล่นนานๆแม่งโคตรรู้สึกดี แสงก็ไม่ดรอป fpsก็นิ่ง ไอโฟนนี่เอาไว้ใช้ชีวิตประจำวันกับเล่นเกมโง่ๆก็พอ สายเกมจ๋าๆนี่ไม่เหมาะ","1"
"ผมว่าเดี๋ยวมันเพิ่มเติมจากรุ่นก่อนน้อยมากๆครับแถมราคาแพง​ ถ้าเครื่องเก่ายังใช้งานได้มีอัพเดต​ ก็ยังไม่ต้องเปลี่ยนครับ","1"
"มันแรงครับแต่การระบายความร้อนผมว่า แอนดรอยด์ยังดีกว่าครับถ้าซื้อเล่นเกมส์ผมยังเชื่อใจแอนดรอยด์มากกว่าครับ","1"
"สำหรับผมผมชอบเเอนดรอยนะ เพราะมันเเบตเยอะไม่ร้อนง่าย เเต่มันก็เเล้วเเต่บางคนเเหละ","1"
"ก็ยังก่ำอยู่ดีสำหรับความคิดผมนะ ความคุ้มค่าไม่ค่อยโอเคเลย","1"
"ยังไม่ทำ Bypass charging ให้อีกหรอ ราคานี้","1"
"เราใช้ใช้ไอโฟน13 pm อยู่ กะจะรอ ไอโฟน18 ออกค่อยเปลี่ยนอ่ะ ตอนนี้มันไม่ว้าวเลย มันแบบเหมือนหมดมุกแล้วอ่ะกั๊กทีละนิดๆ ราคาก็เเพง","1"
"ส่วนตัวยังมองว่าไม่น่าเปลี่ยน เสียเงินเปล่า เอาเงินไปทำอย่างอื่นดีกว่า","1"
"มือถืออย่างแพงเเต่จัดการความร้อนไม่ได้แย่มาก","1"
"จากใจคนถือ 14PM คือเฉยๆมากครับ ไอแลนด์ได้ใช้ก่อนเป็นปี ออกมาปีนี้กับ 15PM คือเฉย ไทเท เดี๋ยวก็ใส่เคส กล้องซูม x5 ก็ไม่ค่อยได้ใช้ Type c คือ ไม่สำคัญ ชาร์จ MagSafe เอาตรงๆถ้าไม่ใช้สาย production รีวิวผมว่า รอ 16PM ครับ จขกท.ที่ถือ 12 อยู่รอ 16เลยครับ ผมว่ามีอะไรน่าสนใจกว่านี้แน่นอน","1"
"S23uแรงเหมือนกันไม่เห็นร้อนเลย","1"
"ควรรอ iPhone 16 ครับ จะได้ใช้ A17 Pro ผมอยากลอง Resident Evil VILLAGE กับ Resident Evil 4 Remake บนเครื่องนั้น","1"
"15 ออกใหม่ก็จริง มี usb-c แต่ ใช้ชิปเดียวกันกับ 14 Promax ที่ได้กล้องดีกว่า 120Hz ลื่นๆ และได้ Alway on display จอติดตลอด ผมยังนึกไม่ออกว่า 15 มีอะไรน่าสนใจกว่า 14 Pro ยิ่งถ้าได้โค้ดราคาถูกโละสตีอคนี่ 14 Pro กินขาดเลยครับ","1"
"งั้นๆ ขายครึ่งแสนทำได้แค่นี้??","1"
"ไม่คุ้มสุดๆ กั๊กทุกอย่าง มีดีแค่ชื่อแบรนด์กับกล้องสวย ราคาตั้ง4หมื่นอัพ เรารู้สึกไม่คุ้มเลย เล่นเกมขอผ่าน เล่นได้จริง แต่เล่นแปปเดียวก็ร้อนละ ขนาดเปิดแอร์จนไข่แข็ง ยังร้อนโคตรไว แถมถ้าร้อนจัดๆมีกระตุกด้วยเล็กๆ เกนชิน 4หมื่นนะว้อย","1"
"iPhoneรุ่นนีั ร้อนมากกกกกกกก ร้อนกว่าทุกรุ่นที่เคยใช้มา ตกใจมาก และก็ขายทิ้งไปแล้ว ขาดทุนยับ","1"
"อคติกับไอโฟน","1"
"ขายแพงแต่ไม่แถม อแดปเตอร์ยอมใจเขาจริงๆ","1"
"สำหรับผม เครื่อง PC(รวม Mac)Smartphone(รวม iPhone) ต่อให้สเป็คจะแรงขนาดไหนก็ทดแทนความรู้สึกของการเล่นเครื่อง ConsoleHandheld Console ไม่ได้ ความสะดวกของ UIความมีสมาธิในการเล่นแตกต่างกันมาก ผมมองไปว่าอนาคตของวงการเกมน่าจะไปในทิศทาง Cloud มากกว่าจะเป็นมือถือสเป็คแรงพวกนี้","1"
"ถ้ายอดขายเกมไม่ดี ก็คงไม่ดันต่อ คิดว่าตลาดตรงนี้ไม่เยอะนะ คนที่จะเล่นเกม AAA บนจอเล็กๆอย่างมือถือ ซึ่งเกมมันเน้นเสพภาพสวยๆ และจมอยู่กับมันหลายชั่วโมง ยิ่งคนรุ่นใหม่ก็เล่นแต่เกมแคชชวลซะส่วนใหญ่ด้วย","1"
"ยังคงเสียดายที่ยังไม่แก้เรื่องการปรับ HDR  อัตโนมัติ ยังไม่สามารถปิดได้เอง มันทำให้เวลาถ่ายหน้าคนจะไม่ละมุน และ แสง สี ไม่ตรงกับก่อนกดถ่าย อยากให้ apple แก้เรื่องนี้สักที","1"
"โดยรวมยุคสมัยนี้มือถือเล่นเกมคอนโซลได้ผมว่ามันไม่ได้ว้าวซ่าซักเท่าไหร่ จากใจสายเกมมิ่งโมบาย สิ่งที่ต้องการจริงๆ คือมือถือที่แรงและสามารถจัดการความร้อนได้ดี แรงแล้วร้อนลูกเล่นแพรวพราวนู่นนี่นั่นบลาๆ พอเอาเข้าจริง จัดการอุณภูมิไม่ได้ ร้อนเฟรมตก เห็นข่าวหลุดมาแล้วหนิ15Pro ว่าไม่รอด เล่นRe vllได้แค่2นาทีเอง เฟรมร่วงแล้ว (ย้ำนะข่าวลือ)","1"
"น่าสนใจตรงที่ดึงค่ายผลิตเกมส์มาลง ios ได้ แต่ 15 ก็ยังมีปัญหาความร้อ โดยเฉพาะเล่นเกมส์ แล้วจะเป็นยังไงนี่","1"
"พวกเกม AAA  (แถมเกมเก่าด้วย มีแค่แอสซาซินที่ใหม่) คือถ้าจะเล่นนอกจากต้องซื้อตัว pro กับ promax แล้วยังต้องซื้อเกมแยกอีกสู้เอาเงินไปซื้อในคอมเล่นเอาดีกว่า(เกมนึงค่อนข้างแพงด้วย)
ส่วนตัวถ้าเป็นเกม console ยังชอบของ android ตรงที่มี EMU ให้เล่นเกมได้เยอะเนี่ยแหละครับ เล่น EMU nintendo switch ใน redmagic 8 พูดเลยอย่างฟินลื่นแทบทุกเกม","1"
"กล้อง14 pro ดูสมจริงไปเลยแต่15pro รอบนี้เหมือนใส่ฟิวเตอร์ และสีสดขึ้นรอบนี้กล้องเหมือนไม่สมจริงแล้ว","1"
"มีช่องริวิวออกมาละครับ สรุปแรงโม้ตามสไตล์ลุงทิม เหมือนเดิม 555   re เล่นได้แค่ภาพ720p  24-30 fps  ผ่านไป 15 นาที เริ่มร้อนแล้วด้วย","1"
"โดยรวมแทบจะไม่ดีขึ้นเลยการใช้งาน  ร้อนเร็ว กล้องติดเหลือง  เสียงลําโพงแย่กว่า14pro รอยนิ้วมือพอๆกับ14pro  โดยรวม14proถือต่อรอ16ดีกว่า ผมว่าจะอัพไป15proไม่ชอบจอใหญ่pro max เกือบไปแล้วดีที่ทํางานมีหน่วยกล้าตาย ซื้อมาใช้ก่อน","1"
"จอโง่ 60 hz ทุกวันนี้จอคอมที่ใช้ ก็165hz แล้ว กลับไปมองจอ 60 hz มันรู้สึกกระตุกจริงๆ","1"
"เป็นฟังก์ชันเดียวในiPhone 15 ที่อึ้งจริงๆเลยครับ นอกนั้นคือไม่มีอะไรเลย555","1"
"แต่ทำไมเราถึงจะต้องการเล่นเกม AAA หนัก ๆ ในโทรศัพท์ที่แบตหมดไว เล่นให้แบตมันเสื่อมไว จอก็เล็ก 😅","1"
"ไม่ต้องถึงขั้นaaaแค่เอาเกมส์จากคอนโซลมาลงอีกเยอะ ๆ ก็ดีมากแล้ว มือถือเดี๋ยวนี้มีแต่กาชากับมัลติเพลย์ออนไลน์","1"
"ดีนะมันดี ที่ขัดใจสุดคือสี มันหวานเกิ๊น ปุ่มแอคชั่น กับ ซีพียูก็กั้ก ทำไมไม่ใส่ A17 ปุ่มแอคชั่น มาทุกรุ่น คือถ้าอยากได้ใหม่จริงๆต้องไป pro กับ pro max หัวจะปวด","1"
"ไม่เคยคิดจะเสียเงินค่าโง่ให้กับ iPhone รุ่นหลัง ยังไงก็จะใช้ iPhone SE ตลอดไป เน้นแค่พอใช้ ไม่เห่อโง่ตามคนอื่น","1"
"มีคนมากมายที่บ่นเรื่องความร้อนในไอโฟน แต่สาวกบอกตลอดไอโฟนไม่ได้ออกแบบมาเพื่อเล่นเกม แต่แอปเปิ้ลดันพัฒนาเรื่องเกมจนฟันหน้าสาวก สะงั้น 5555 แต่ให้เราฟันธงได้เลยว่า ""ดับ"" มันไม่ใช่แค่เรื่องของลูกค้า พฤติกรรมการเสพ หรืออะไร เอาแค่เฉพาะ ดีไวซ์ก่อน ระบบระบายความร้อนสักอย่างยังไม่มีเลย และที่ผ่านมา แค่ ROV ก็ยังไม่ไหว ถ้าจะมาบอกให้เล่นในห้องแอร์ มันก็หมดความหมายแล้ว กับการเป็น mobile  A17 pro ใน SoC ที่เป็นแบบ 3nm อันนี้ก็ขาดๆเกินๆ ค่าความเที่ยงตรงมีไม่มากพอ จนถึงขนาดต้องอัดไฟเข้าไป เพื่อให้ได้ Performance ที่ดีพอในระดับเท่ากันทั้งหมด แต่ลืมดู อุปกรณ์ตัวเอง ที่ไร้ซึ่งทุกอย่างที่จะช่วยระบายความร้อน นี่คือการโยนระเบิดถามทางแท้ๆ ใครเอาไอโฟนมาเล่นเกม น่าจะเข้าใจคำว่า จอ มืดตึ้บบบ ได้ดี 555","1"
"ทุกวันนี้แข่งกันแรง แต่ร้อนชิบหายเลย ไอโฟนนี่แรงจริงเร็วจริง แต่เล่นนานไม่ค่อยได้ร้อนจนจับแทบไม่ได้ แถมเล่นไปนานๆ แบตเสื่อมไวอีก %สุขภาพแบตลดเป็นน้ำเลย","1"
"แล้วใครจะทำมาลง ทุกวันนี้ในมือถือมีแต่เกมส์แนวเติมเพชร รอพลังงานกับพวกอีสปอร์ตออนไลน์ เกมส์แบบซื้อทีเดียวเป็นเจ้าของจบแทบไม่มีเลย  ถ้ามันมีเกมส์ซื้อขาดภาพสวยๆจะดีมาก ไม่ต้องสัมผัสทะสกรีนก็ได้ ต่อจอยแยกเอา","1"
"ให้มันเป็นเรื่องของ อนาคต มือถือก็เอาไว้เล่นเกมชิวๆ สำหรับผม ps5 จอ oled ก็ยังดีอยู่ เล่นในมือถือยังไงมันก็ไม่สุด","1"
"ขณะที่ทุกคนกำลังถกกันเรื่องความแรง เรากังวลเรื่องขนาดmemoryมากกว่า เสียบไมโครsdได้มั้ยนะ เล่นสตีมเดค1เทยังไม่พอ 🤣","1"
"ไม่ต้องมี iphone 15 pro max ก็เล่นเกมคอมได้ครับแค่มี moonlight game streaming แค่นี้ก็ฟินแล้ว แต่ต้องมีคอมนะ 😂","1"
"บอกลามาตั้งแต่13แล้วคะ บอกว่า วัสดุ เครมบอกรักโลก ราคายังโหดไม่ไหว กักสเปก อุปกรณ์ต้องซื้อเสริมตลอด ไม่เคยมีรุ่นไหนสุดเลย เลยหันมา SS แล้ว รู้สึกไม่แตกต่างกันแต่ใช้งานได้ง่ายกว่าเยอะ   ไม่ได้ว่า AP ไม่ดี แต่ส่วนตัวรู้สึกอย่างที่บอก ซึ้งค่ายอื่นก็จัดเต็มๆมานานแล้วก่อนนานแล้ว เลยไม่ตื่นเต้นเท่าไหร่ ความเป็นส่วนตัวก็ไม่ได้แปลว่าไม่โดนมิชชาชีพนะ ก็โดนเหมือนกันเงินหายกันเพียบ แถมล่าสุด AP โดนเจาะ เข้าขอมูลส่วนตัวได้อีกที่ข่าวออก เลยไม่ได้คิอว่าดีกว่าค่ายอื่นสักเท่าไหร่ ย้ำ ความคิดส่วนตัวคะ","1"
"ชิฟแรงใช่ว่าจะลื่น ปัจใจหลักๆคือเรื่องความร้อนเลย ฟังธงเลยว่าเล่นไม่เกินครึ่งชม.แน่ๆ","1"
"ขอพูดถึงกระแส iphone15 นิดนึง เอาจริงๆ ปกติก็ใช้ IPhone อยู่แหละ แต่รู้สึกว่ารุ่นหลังๆ ทำมาแทบไม่เปลี่ยนแปลงเลย โปรโมทกันเยอะ แถมราคาก็แรงขึ้นมาก ถ้าพูดตรงๆคือพัฒนาน้อยมาก จนไม่คาดหวังละ","1"
"ถ้าใครใช้ไอโฟน11โปรแม็กขึ้นไป ไม่ควรจะเปลี่ยนครับ ไม่เห็นผลเท่าไหรไมต่างกันเลยสำหรับคนที่มีไอโฟน11pm แนะนำควรรอไฟน16ดีกว่าครับ","1"
"ต่อให้แรงแค่ไหนมันมีเพดานที่เรียกว่าความร้อนอยู่ ไม่งั้นปานนี้ทั้งโลกคงใช้แต่โน๊ตบุ๊คจน pc ศูนย์พันธุ์ไปนานแล้ว","1"
"ใครจะซื้อก็ซื้อไป  แต่ผมไม่ซื้อ  เปลืองตังค์ที่สุด (เท่าที่เคยมีมา)  เอาจริงๆฟังชั่นบาางอย่างใช้ในฝั่งแอนดอยจนเบื่อแล้วด้วยซ้ำ  ไอโฟนมักจะใช้คำนี้เพื่อให้ล่อใจในการซื้อ(เท่าที่เคยมีมา)แต่บางอย่างในพวกแอนดอยดเขาใช้กันจนเบื่อแล้ว","1"
"ยังไม่รู้ว่ามันซูมได้กี่เท่านี้แหละครับ พี่ซัมเขาไป x100 พี่แอปยัง x15 แรมก็ไม่เปิดเผยว่าให้มาเท่าไหร่ จะ6เหมือนเดิมหรือ 8 ส่วนแบตเฟมือนจะกั๊กข้อมูลด้วย","1"
"ยังไม่มีเทคโนโลยีว้าวๆเท่าไหร่ครับ 14 pro กับ 15 pro แทบไม่ต่างกันส่วนตัวยังรอสแกนนิ้ว Touch ID บนหน้าจอ","1"
"มันคงเล่นได้แต่น่าจะเผาพอสมควร ไหนจะเรื่องความร้อนอีกเล่นแค่เกมโทรศัพท์ภาพห่วยๆเครื่องมันยังร้อนเลย ดูจากทรงไม่น่ารอด","1"
"ก็มันเป็นมือถือที่คนเค้ากราบไหว้บูชากันเยอะที่สุดไงครับ แทบจะมีค่ากว่าทองคำซะอีก มีแล้วจะเป็นหน้าเป็นตาในสังคม ดีทุกอย่างเลย แล้วถ้าใครมาพูดจา จาบจ้วงไอโฟน สาวกทุกคนก็พร้อมใจกันลงทัวร์มันผู้นั้นแน่นอน","1"
"ใช้ Apple ตั้งแต่ยังไม่มี iPhone ตอนนี้เค้าไม่เหมือนเดิมแล้ว เค้าไม่ค่อยสร้างอะไรใหม่ๆเลย เค้าเน้นแค่ขึ้นราคากับทำ Marketing ให้คนซื้อรู้สึกว่ารวย รู้สึกว่าใครไม่ใช่ iPhone ดูโง่ ตัวเองที่ใช้ดูฉลาด แต่จริงๆไม่รู้หรอกว่าเทคโนโลยีอะไรอยู่เบื้องหลังบ้าง","1"
"เล่นได้ กับ เล่นดี  คอเกมน่าจะรู้แหละว่าควรเลือกอะไร🤣","1"
"สำหรับคอนเทนต์วันนี้สน้บสนุนโดย apple","1"
"ต้องใช้ถุงมือกันความร้อนในการเล่นเกมส์บน iPhone 15pro ไหมครับ😂","1"
"เสียดาย type c นึกว่าจะได้ชาร์จไวกว่าเดิม ได้แค่ 27W เอง","1"
"แรงแค่ไหนรอร้อนก็แลค 13 เล่นดบดล ยังไม่รอดเลย เหมือนพยายามครองโลกกับไอโฟนเครื่องเดียว
 #จะเป็นทุกอย่าง แต่ราคาไปซื้อได้หลายอย่างเลย face-red-droopy-eyesface-red-droopy-eyesface-red-droopy-eyes","1"
"เฉยๆ ถ้าอยากเล่นแบบพกพาจริงๆ ไปซื้อพวก steamdeck หรือไม่ก็ rog ally ดีกว่า แรงกว่าตั้งเยอะแถมถูกกว่ากันเกือบครึ่ง","1"
"rog phone 7 Ultimate เทพกว่า","1"
"ออกมาแบบ ไม่ได้เหนือความคาดหมาย ขอใช้ i13 pro ต่อไป","1"
"ปัญหามันไม่ใช่ความแรง มันคือความร้อน เล่นเกมแรงๆได้ 3 นาทีร้อน แสงหน้าจอลดฮวย กระตุกอีก มันก็ไม่มีประโยชน์","1"
"ดูเป็นรุ่นที่ปัญหาค่อนข้างเยอะที่สุดตั้งแต่เคยเปิดตัวมา","1"
"15 pro เล่น rov ปรับสุดเครื่องร้อนเร็วมาก แอบผิดหวัง","1"
"เราคนเดียวหรือเปล่า ที่หลังๆไม่ค่อยอินกับ ไอโฟน ออกบ่อยเกิ้น สายทำงาน SM - Note ดีกว่า","1"
"เมื่อไรจะเอาขีดดำๆที่หน้าจอออกสักที เวลาใช้จะได้ไม่ขัดหูขัดตา","1"
"ไม่แตกต่างกับ ไอโฟน 14 เลย","1"
"คำถามที่ผมสงสัยคือ😅แล้วเราจะเล่นเกม AAA ในมือถือทำเพื่อแค่นึกถึงการควบคุมก็รู้สึกลำบากกับชีวิตเข้าไปอีก555 แต่เรื่องความแรงผมก็ทึ่งเหมือนกันแต่ว่าผมคงใช้13ต่อไปนั้นแหละไม่เห็นความจำเป็นที่จะต้องเปลี่ยน","1"
"หรูหรา มีสไตล์ ใครพกพาก็เท่ห์มีความเหนือระดับ   แต่!! ไม่มีนวัตกรรมอะไรใหม่เลย เทียบกับหัวเว่ยที่สามารถโทรผ่านดาวเทียมได้แล้ว","1"
"iPhone 15 Pro Max เครื่องค้างจนดับเป็นรอบที่ 2 หลังจากรับเครื่องมาได้แค่ 4 วัน งงมาก คิดว่าน่าจะเป็นเพราะ Apple music เพราะอาการเริ่มต้นคือกดเล่นเพลงแล้วเพลงไม่เล่น เปลี้ยนแพงไม่ได้ จากนั้นแอพจะเริ่มค้าง youtube youtube music จะเข้าไม่ได้ แล้วเครื่องก็ดับไปเลย","1"
"ถึงแม้มือถือขะแรงขนาดไหนแต่ก็สู้pcไม่ได้หรอกนะ(อันนี้ความคิดเห็นส่วนตัวนะ)","1"
"ไร้นวัตกรรมก็ว่าได้ ขายแค่วาทะกรรมครับ อันนี้ส่วนตัวผมนะครับ จริงๆก็ใช้ iphone แต่ไม่เคยมีรุ่นไหนทำให้ว๊าวเท่า iphone 12 เลย","1"
"คะแนนกล้อง iPhone 15 Pro Max จาก DxOMark มาละ ยังเป็นอันดับ 2 แพ้ Huawei P60 Pro อยู่","1"
"แบตไหลเหมือนเดิม ไม่แก้จุดอ่อนไปก็งั้นๆ","1"
"เครื่องค้างเหมือกันเลย แต่ไม่ดับ ค้างหน้า Lock screen เลื่อนขึ้นได้แบบกระตุกๆ ค้างหน้าแอพ กดปิดเครื่องไม่ได้ เป็นแบบนี้เกือบชั่วโมง สักพักหาย","1"
"ราคา48000 เอาเลยครับ 😂","1"
"ดีทุกอย่างยกเว้นแบต555","1"
"หน้าจอใหม่บางลง ขอบไทเทเนี่ยม จอ6.7เท่าเดิมแต่ราคาเพิ่มพูน (น่ะจ๊ะ) ไม่มีอะไรว๊าวเลยครับ ตามหลังแอนดอยไปหลายปีแสงม๊ากๆ","1"
"กล้องซูมจาก 3.5x มาเป็น 5x Optical ยังตามตูดชาวบ้านอยู่หลายปี เลย","1"
"เล่นได้แต่คงร้อนเครื่องพัง","1"
"iPhone 15 Pro Max เล่นเกมลื่นนะ แต่ลื่นแปปเดียว ที่เหลือคือกระตุกยับๆ นี่นั่งเล่น Honkai Star Rail (เกมที่ Apple โปรโมทในเว็บ) ใน Starbucks ซึ่งแอร์หนาวมาก เล่นไปแค่ 20 นาทีคือกระตุก ภาพตัด ภาพวาร์ป มาหมด","1"
"ip 14 เล่น rov 60 เฟรมยังกระตุกเลยชิพแรงไปก็เท่านั้น ระบายความร้อนกาก","1"
"ถ้าตัวเกม pc ไม่ทำให้ซับพอร์ต arm ยังไงก็แลค ง่ายๆเลยจะสู้ switch ได้หรือเปล่า","1"
"ไม่ชอบตรงกักการซูมเฉพาะ pro max","1"
"apple ขี้โม้ครับ ใครก็ยัดของเเรงได้ เเต่จะระบายความร้อนยังไง สำหรับเกมเมอร์ทุกคนผมว่าเขาไม่ได้ wow อะไรหรอก เพราะยังไงสักวันสเปคมือถือมันต้องใกล้ PC ขึ้นเรื่อยๆอยู่เเล้ว เเต่สิ่งที่จะทำให้ wow ได้จริงๆ คือการระบายความร้อน ความลื่นไหลของการเล่นเกม ระยะเวลาที่จะเล่นได้โดยไม่เสียบสายชาร์ท ถ้าเครื่องเล่นเก็บเบาเเละบางขนาดไอโพนได้จริงๆ (เเละเล่นเกมได้จริงๆ) ตั้งราคาไว้ 100000 ก็ไม่ไม่หวั่นครับ พร้อมจ่าย","1"
"นึกว่ารอบนี้ไอโฟนรุ่นธรรมดา  จะทำมาดีกว่า มือถือแอนดรอย ราคาหมื่นกว่า แต่ๆ หลายอย่างยังสู้ไม่ได้เหมือนเดิม","1"
"เห็นฝรั่งรีวิวลองขูดแล้วไทเทเนียมเป็นรอยง่ายมาก","1"
"แบตเสื่อมตามมาแน่ๆ เอา  มาเล่นในมือถือ 555","1"
"กั๊กเก่งเหมือนเดิม","1"
"เล่นได้กับเล่นลื่น มันคนละเรื่องกันเล้ย","1"
"แรงขนาดไหน เจอความร้อนก็จบ","1"
"15 Pro max ล่าสุดก็คือ ค้างจนกดอะไรไม่ได้ เครื่องดับไปเลย งงมาก แค่จะกดเปลี่ยนเพลงเอง","1"
"ความรู้สึกหลังใช้ Z Fold 5 มาเกือบ 2 เดือนแล้วกลับมาใช้ iPhone 15 Pro Max คือ ถือไอโฟนเหมือนถือเขียงอันเล็กอะ ใหญ่มาก บานมาก","1"
"จะไปซื้อ Iphone มาเล่นเกมคอมทำไม ทำ Macbook การ์ดจอแรง ๆ ออกมาก่อน.🤣","1"
"เเรงไม่กลัว กลัวร้อน","1"
"นี่มึงคือ Titanium จริงป่าววะ วัสดุในยานอวกาศจริงป่าววะ แค่ตกจากกระเป๋ากางเกงลงพื้นกระเบื้องในระยะ 1ฟุต เป็นรอยแล้วจ้าาาาาาาาา","1"
"เครื่องไม่ร้อนลวกมือหรอกหรือ","1"
